text,text_name
"?<text_id=""H15N016"">
No sugar, but still a danger
CAFFEINATED energy drinks cause a 25 per cent spike in teenagers' blood glucose and insulin levels even when they contain no sugar, alarming new research shows.
A study to be presented to a world diabetes conference in Vancouver has found the caffeine alone in the drinks could predispose people to diabetes and heart disease.
About 30 per cent of teens and half of all young adults consume the drinks, which have been associated with a handful of deaths worldwide and over 300 health events, including 128 hospitalisations in Australia.
Consumption of the drinks in Australia surged fivefold in the decade to 2010 and some experts are calling for them to be banned from sale to those aged under 18.
Heidi Virtanen, from the University of Calgary in Canada, will tell the conference a study of caffeinated drinks in adolescents found they caused a 20-30 per cent increase in insulin and glucose levels.
The chief concern about energy drinks is the amount of caffeine they contain and the fact they are aggressively marketed to children.
Energy drinks typically contain about 80mg of caffeine.
Deakin University research has found, on average, children first use these drinks at the age of 10 in Australia. Children and adolescents are much more likely to ingest higher amounts of caffeine per kilogram of body mass when they consume these drinks because they are smaller than adults.
",H15N016
"?<text_id=""O13N004"">
Students tested after diabetes kit incident
THE families of four children who pricked their fingers with a diabetes testing kit have sought medical advice.
The Department of Education said the students used the kit in the playground of the East Derwent Primary School.
""The student brought their grandmother's diabetes testing kit to school and, together with three other children, used the finger stick test to prick themselves,"" the department's deputy secretary Liz Banks said.
Ms Banks said the kit was confiscated when a teacher became aware of the incident, which happened last Thursday.
It is believed the students are four girls in Grade 3.
""While the students claim to have changed the head of the finger stick test before each use to be safe, it was recommended to parents that the students involved be taken to the doctor for appropriate follow-up,"" Ms Banks said.
The students' parents were told of the incident, last Thursday and visited doctors. The parents were also asked to confirm the students had had hepatitis B vaccinations.
Acting public health director Mark Veitch said the incident highlighted the importance of never sharing any implements that drew blood.
""The risk of spreading a blood-borne virus such as hepatitis B, hepatitis C or HIV in this setting is extremely low,"" Dr Veitch said.
""It's important for parents to get advice and testing from their general practitioner.""
",O13N004
"?<text_id=""V14N013"">
New mums in denial over weight gain
MUMS are underestimating how much weight they gain while pregnant and are putting themselves at high risk of type 2 diabetes, a conference on diabetes will be told today.
A study of 110 women who developed gestational diabetes while pregnant has found up to 80 per cent were still overweight or obese three months after giving birth.
Despite this, almost half those who were overweight or obese believed they had a healthy weight, says Allison Sigmund, a dietitian and diabetes researcher from the University of Western Sydney (UWS) School of Medicine.
""Self-perception is a major barrier to tackling weight issues and diabetes risk,"" Ms Sigmund said. ""It really is a case of 'I see what I want, not what I should' for many new mums."" The excess weight meant one in three of the women would go on to develop type 2 diabetes within three years.
The disease has serious health complications. In the past decade, 10,000 Australians with type 2 diabetes have gone blind and 20,000 had their limbs amputated. Another 80,000 had heart attacks, 40,000 had strokes and 25,000 were suffering kidney failure and needed dialysis.
The women controlled their blood sugar while they were pregnant to ensure they didn't harm their baby or have birth complications from a large infant, Ms Sigmund said.
""They're doing it for their babies but don't realise afterwards they've got to do it for themselves, otherwise they'll develop diabetes,"" she said.
Around one in five women have increased blood glucose during pregnancy, a condition known as gestational diabetes.
Blood glucose levels often return to normal after childbirth, but failure to reduce excess weight increases the risk of developing type 2 diabetes.
""Approximately 50 per cent of women gain excess weight during pregnancy. This is fuelling rates of gestational diabetes and increasing the number of children who enter the world already on the road to type 2 diabetes,"" said Dr Sof Andrikopoulos from the Australian Diabetes Society.
The study will be presented at the Annual Scientific Meeting of the Australian Diabetes Society & Australian Diabetes Educators Association in Melbourne today.
It found women with an accurate perception of their weight were almost twice as likely to try to lose weight than those with a false perception.
",V14N013
"?<text_id=""W15N002"">
Boy gets world-first diabetes aid
Four-year-old Perth boy Xavier Hames has become the first patient in the world to receive an artificial pancreas as part of his routine diabetic care.
The Princess Margaret Hospital patient is using the breakthrough technology to help manage his type 1 diabetes, based on an automated insulin pump that can predict and respond to low glucose levels.
He is the first to use the pump routinely rather than as part of a clinical trial that has been running for several years.
The research has involved a team of specialists from PMH and hospitals across Australia, funded by the Juvenile Diabetes Research Foundation and the Federal Government.
The pump system mimics the biological function of the pancreas to predict low glucose levels and stop insulin delivery, avoiding the consequences of low glucose such as coma, seizure and potential death.
PMH Professor Tim Jones, one of the leading clinicians involved in trials of the device, said it was the first time the hospital had been able to routinely offer patients a tool that could prevent hypoglycaemia.
""The majority of hypoglycaemic attacks occur at night when a person is asleep and they might not be able to react or recognise the attack,"" he said. ""This device can predict hypoglycaemia before it happens and stop insulin delivery before a predicted event.
""This coupled with the fact that the pump automatically resumes insulin when glucose levels recover is a real medical breakthrough.""
Xavier was diagnosed with diabetes when he was 22 months and has been receiving regular treatment at PMH since then. His mother Naomi said the pump system was a breakthrough in Xavier's care.
""Having the pump gives us the reassurance that Xavier is safe,"" she said.
",W15N002
"?<text_id=""R17N012"">
IS YOUR PARTNER SABOTAGING YOUR HEALTH?
We've all had a loved one derail our healthy eating intentions with a cheeky slice of cake here or a chocolate bar there - but according to a Danish study, those treats might be doing more harm than we realised. After assessing the health of more than 6000 men and women, the scientists found men are more at risk of developing type 2 diabetes if their wives are obese, most likely because they eat the same foods as their spouse and share their poor exercise habits. On the flipside, women living with obese men showed no additional increase in risk. Whatever your other half's weight, the study's researchers were quick to point out that your own health is the most significant indicator when it comes to your diabetes risk.
Symptoms including blurred vision, leg cramps, lethargy and excessive thirst are all potential indicators, so if you're concerned head to diabetesaustralia.com.au to checkout your screening options.",R17N012
"?<text_id=""O13N015"">
New world of hope for diabetes 
A GROWING number of Australians are living with diabetes but now the efforts of some young sufferers and the aid of new technology are making lives easier.
Seven young Tasmanians were named Diabetes Australia young leaders at a reception at Government House in Hobart last night marking World Diabetes Day.
One of them, Strahan resident Tahlia McDermott, 20, said that with more than 25,000 Tasmanians diagnosed with diabetes and many undiagnosed she hoped the role would allow her to increase community awareness of type 1 diabetes.
""Having type 1 diabetes has given me the opportunity to raise awareness and speak from my own personal experiences as I understand first-hand what it's like to live with the disease."" Ms McDermott said.
She is using a new smartphone app to measure her blood sugar levels technology unimaginable during a fund-raising trip in March.
""I cycled from Vietnam to Cambodia, stopping at local hospitals to meet with other young people living with type 1 diabetes and was fortunate enough to provide them with essential supplies that we have access to in Australia,"" she said.
""They don't have any of the modern technology that we've got, they're still using syringes and urine sampling. We dropped off supplies and toys to brighten up their day.""
How far things have come is demonstrated by an iPhone app.
A blood sugar tester strip is put into an adaptor that fits on to the smartphone, then it ""takes about five seconds"" for IGB Star to measure blood sugar levels.
""I can check my sugar everywhere I go and it keeps the data logged so I don't have to write it down for my doctor it means I can send it straight off to my doctor, she can analyse it and email me straight back if she needs to,"" Ms McDermott said.
""It makes it much easier. I've seen a few glaucometers over the years and some of them have been really big, really chunky and they break easily.
""Everyone's always got their phone on them, so why not have your glaucometer on you all the time.""
",O13N015
"?<text_id=""G13N004"">
Obesity becoming 'norm' as diabetes apathy grows
Victorians' growing weight problem is failing to ring alarm bells on diabetes, the nation's fastest-growing chronic condition.
Fifty-six per cent of the state's population are classed as overweight or obese, but almost half have no concern about developing diabetes.
The widespread apathy was revealed in the AustraliaSCAN report, an annual survey of 2000 Australians.
Forty-seven per cent of Victorian respondents said they had no concern about getting diabetes and felt no need to do anything about it. But 41 per cent admitted eating fast food regularly and 24 per cent did not get enough exercise.
Every day in Australia, 280 people get diabetes. A million people are diagnosed with Type 1 diabetes, or the more common and often preventable Type 2, and it is estimated another 700,000 have it but don't know. About 2 million to 3 million Australians have ""pre-diabetes"" and are at high risk of developing Type 2, which can be caused partly by poor lifestyle decisions such as eating too much sugar and not exercising. The disease can lead to heart disease, blindness and kidney damage.
Professor Jane Speight, director of the Australian Centre for Behavioural Research into Diabetes, said acutely life-threatening diseases such as cancer and HIV had pushed diabetes into the background.
Australia's ""obesogenic environment"" contributed to the diabetes risk becoming less obvious, she said.
""As more of us become overweight and physically inactive, that becomes the norm... it becomes a challenge for people to stand up and say 'no, I want to be different to that',"" she said.
Catherine Stirling, a nurse at Melbourne Private Hospital, experienced gestational diabetes during her two pregnancies, and now has pre-diabetes, which means her blood glucose levels are higher than normal but not high enough to be classified as diabetes. ""It's really scary when you get those results. Even though I knew I was high-risk [for diabetes], I was still fairly apathetic,"" she said. ""I thought: 'I'm heading down a path of destruction here'.""
Mrs Stirling took dietary and exercise steps to reduce the chance of her pre-diabetes developing into type 2. Nearly two decades on, she's still managing to fend off the condition.
On Sunday, Melburnians are invited to run or walk around the Tan to raise awareness of diabetes prevention. Next week, world experts visit Melbourne for the World Diabetes Congress.
DIABETES WATCH
47% of Victorians are not concerned about getting diabetes. Of this group:
56% are overweight or obese.
41% regularly eat fast food.
24% are not concerned about getting enough exercise.
85% of diabetes cases are type 2.
81% of Victorian adults are satisfied with their personal health, up from 77% in 2003, despite obesity levels rising during that time.
SOURCES: QUANTUM MARKET RESEARCH, AUSTRALIAN INSTITUTE OF HEALTH AND WELFARE, DIABETES AUSTRALIA VICTORIA
",G13N004
"?<text_id=""D17N003"">
A sweet relief for diabetes 
PARENTS will no longer have to worry about the devastating prospect of their diabetic kids dying through the night with the government today announcing free continuous glucose monitoring kits for children and teens under the age of 21.
The $54 million announcement will see a sticker being placed on the skin of a child or young person with diabetes to estimate blood glucose levels. Alerts will be sent to parents' smartphones when the child's glucose levels become concerning and they can administer insulin immediately.
Currently continuous glucose monitoring kits cost up to $4000 a year, but from tomorrow they will be available to eligible families for free.
There are 15,000 child and teen type 1 diabetics sufferers in Australia. However, it is estimated around 4000 will access the new program.
Type 1 diabetes is an auto-immune disease that attacks a person's ability to produce insulin. Children and young people with the disease have to monitor their glucose levels around the clock.
It's estimated around 10 Australians with type 1 diabetes die each year overnight due to complications relating to their disease. Health Minister Greg Hunt said continuous glucose monitoring would save lives and also reduce the hassle of the daily finger-prick for diabetics.
",D17N003
"?<text_id=""N16N006"">
Weaning the west off a diet of sugar and fat
The Western Sydney Diabetes partnership is considering a wide range of measures to improve the health of the population, including transport options to reduce car reliance, education programs in schools, building more green spaces and better access to fresh food.
But those who designed the plan recognise that without policies at a federal level to drive changes in behaviour, the measures will have limited success.
Mr O'Connor said preventing diabetes would require the same level of co-ordination and bipartisanship as tobacco control, which involved awareness campaigns, taxation measures and regulated advertising.
""If we were a clever society we would apply some comprehensive social engineering to reduce lifestyle-related illness,"" Mr O'Connor said. This could include a sugar tax or raising the GST to encourage people to buy fresh food, which is not taxed.
Diet is considered to play a more important role in weight loss than exercise, though people who regularly exercise are more likely to maintain their weight loss as it improves their metabolism.
University of Sydney metabolic health Professor Stephen Colagiuri said the priority should be preventing people at high risk of diabetes from developing the disease, doing something at a population level to encourage healthier eating and more physical activity and making a concerted effort to prevent pregnant women from developing gestational diabetes.
But attempts to bring these about had not been supported, with little political will to make policies to drive changes in behaviour.
The National Diabetes Strategy Advisory Group suggested to the government a range of measures in 2014, including the appointment of a National Diabetes Commission to implement the plan, but these had been watered down by the government, said Professor Colagiuri.
""We produced a document with advice to guide their national diabetes strategy and they produced a document of their own, but their prevention part is not very strong,"" he said.
""We are at loggerheads with the government in regards to an implementation strategy.""
Health Minister Sussan Ley said the advisory group's strategic plan was moving through an inter-governmental committee.
""It is important to recognise this strategy complements work also under way to develop a treatment approach for a number of chronic conditions, and we expect an Implementation Strategy to be considered by the Council and delivered by the end of this year,"" she said.
What are the odds?
People living in western Sydney are 1 1/2 times more likely to develop diabetes than other parts of Sydney, according to research by Wollongong University public health researcher Thomas Astell-Burt, who mapped the odds ratio of developing diabetes in different parts of Sydney.
People living in Blacktown are three times as likely to develop diabetes as those living in Mosman.
Part of this may be due to the region having higher proportions of Indigenous people, people with mental health problems and people in their childbearing years, who are at higher risk.
But the prevalence of obesity in western Sydney may also be linked to the relative scarcity of fresh food and groceries compared with fast food and a built environment that is less conducive to a healthy lifestyle.
In a separate study, Associate Professor Astell-Burt mapped the food environments in Australian cities, showing that 10 to 20 per cent of Mount Druitt and Blacktown residents residents lived within a kilometre of a takeaway, but did not have access to a supermarket in the same distance.
The concept of ""food deserts"", which was popularised in the US by first lady Michelle Obama, found that some areas had better access to fast food than they did to fresh food.
""Nobody believes that living in an area without healthy choices is a good thing and making sure that we can incentivise greengrocers and supermarkets to open, so people have access to healthy choices, is a good start,"" Associate Professor Astell-Burt said.
""But how do you nudge people to make those healthy choices when they're on their doorstep? So it's only part of the solution.""
Mr O'Connor said social demographic was part of the reason why people living in western Sydney had higher odds of developing diabetes, but that was not the whole story.
""People are more likely to copy the behaviour that they see going on around them and for at least the last two generations there has been an increase in adopting excessive calorie intake.""
Research indicates the current epidemic may be condemning the next generation, with the children of women who developed gestational diabetes 30 per cent more likely to get type two diabetes themselves.
",N16N006
"?<text_id=""W14N010"">
New centre to tackle diabetes 
A new support centre for families of WA children with type 1 diabetes has been given a $400,000 injection from Lotterywest.
The grant will allow the Telethon Juvenile Diabetes Family Centre being built in Stirling to become the first of its kind in Australia to provide information and services for families of the more than 120 WA children diagnosed with type 1 diabetes each year.
The funding is part of a wider contribution by Lotterywest which is expected to reach $1.4 million.
The centre is being built by BGC and supported by Lotterywest, the State Government and Telethon.
Health Minister Kim Hames said type 1 diabetes in children was a complex and demanding medical condition.
""Type 1 diabetes not only has an impact on the life of the child diagnosed with the condition, but also has a significant impact on the other members of their family,"" he said.
""The centre will be the first of its kind in Australia and will take a holistic approach that complements the excellent clinical care on offer here in WA.""
The centre, which is due to open early next year, will offer emotional wellness support programs, peer support networks, diabetes education and information, and activities aimed at children and adolescents with type 1 diabetes.
Chairman of the centre's board Jeff Newman said the grant was timely, with next week being National Diabetes Week. He said type 1 diabetes was a challenging medical condition, with people requiring daily insulin injections, blood tests and dietary restrictions to stay healthy and prevent dangerously high or low blood sugar levels.
It was important for parents to be aware of symptoms in children, including excessive thirst, weight loss, frequent urination and fatigue.
",W14N010
