,text_id1,text_name1,word_count1,status1,similarity,text_id2,text_name2,word_count2,status2
0,68032ddced,G14N003,423,keep,0.9961,b7eca0182b,S14N004,421,remove
1,961a1dc878,V17NN010,1071,remove,0.9961,c326a6a0a5,D17NN005,1071,remove
2,30478f9ca9,S16NN003,447,keep,0.9961,a0ef052323,G16NN003,447,remove
3,26fbf49007,V17NN021,283,remove,0.9922,c02faa6925,H17NN018,283,remove
4,e69856a0c6,R17NN010,283,remove,0.9922,26fbf49007,V17NN021,283,remove
5,c4dce1097b,R15NN007,416,remove,0.9922,b0fe5d466d,V15NN009,418,keep
6,e69856a0c6,R17NN010,283,remove,0.9922,c02faa6925,H17NN018,283,remove
7,914bc53b5c,D15NN013,416,remove,0.9883,b0fe5d466d,V15NN009,418,keep
8,c4dce1097b,R15NN007,416,remove,0.9883,914bc53b5c,D15NN013,416,remove
9,b7a9771419,S17NN003,872,remove,0.9883,2facf1d8c4,C17NN004,896,keep
10,a1f176f44f,G15N005,491,keep,0.9766,c68dc3302f,S15N006,491,remove
11,c696828e8c,H17NN011,1071,keep,0.9766,e3fc48c763,R17NN007,1058,remove
12,2494cd5102,D14NN008,411,remove,0.9688,78f5a14c7b,R14NN009,413,remove
13,c696828e8c,H17NN011,1071,keep,0.9648,961a1dc878,V17NN010,1071,remove
14,f611923385,D17NN009,292,keep,0.9648,26fbf49007,V17NN021,283,remove
15,f611923385,D17NN009,292,keep,0.9648,c02faa6925,H17NN018,283,remove
16,f611923385,D17NN009,292,keep,0.9648,e69856a0c6,R17NN010,283,remove
17,2aee1d5e50,C16N004,393,remove,0.9648,99aa2452c6,S16N002,392,remove
18,c696828e8c,H17NN011,1071,keep,0.9609,c326a6a0a5,D17NN005,1071,remove
19,52cc570ba3,G13NN002,1408,remove,0.957,f03eb4f187,C13NN009,1465,keep
20,87ea017307,C17N002,503,keep,0.957,73cbd5f20c,G17N001,495,remove
21,6f043de782,S17N002,543,keep,0.9492,3b2f90c27e,G17N002,531,remove
22,961a1dc878,V17NN010,1071,remove,0.9492,e3fc48c763,R17NN007,1058,remove
23,c326a6a0a5,D17NN005,1071,remove,0.9453,e3fc48c763,R17NN007,1058,remove
24,368f5294cf,D15NN003,880,keep,0.9336,edb5329c56,V15NN003,879,remove
25,92a88a6d82,G16N008,446,remove,0.9258,6b653425f5,S16N009,457,keep
26,0f3f5b7b20,V14NN008,431,keep,0.9023,2494cd5102,D14NN008,411,remove
27,de088e8247,N16N007,439,remove,0.8945,fd1ebf32df,U16N001,447,keep
28,fe54f0b2f3,R13N005,459,keep,0.8945,b3496c2b9d,V13N006,430,remove
29,75fbd1aebf,C16N006,228,remove,0.8906,4dd80290be,S16N006,245,keep
30,b1b0d24228,G15N001,374,keep,0.8906,9fc29c1b6f,S15N001,348,remove
31,36b24a602b,O17N006,198,remove,0.8906,591536f04d,R17N004,200,keep
32,0f3f5b7b20,V14NN008,431,keep,0.8789,78f5a14c7b,R14NN009,413,remove
33,ca9df0dd97,D17N004,402,keep,0.8789,7676b404b6,V17N009,401,remove
34,8fecc6efd0,H13N013,437,remove,0.8789,b3496c2b9d,V13N006,430,remove
35,fe54f0b2f3,R13N005,459,keep,0.8711,8fecc6efd0,H13N013,437,remove
36,9b97c9051e,R13N017,386,keep,0.8672,02ffc20748,V13N019,366,remove
37,519a9ae45a,G14N001,433,keep,0.8672,a06e8ddebc,S14N001,399,remove
38,fc1dfb29e0,O17N001,232,keep,0.8633,676597d21a,V17N002,269,remove
39,9b97c9051e,R13N017,386,keep,0.8555,42d17d4f42,H13N016,455,keep
40,ebf560b40e,H17N015,364,remove,0.8555,64c7679918,V17N019,429,keep
41,1fc530e916,V17N006,427,keep,0.8555,80436a50d0,W17N009,406,remove
42,2d07d9799d,R15NN001,709,remove,0.8516,edb5329c56,V15NN003,879,remove
43,9afcb14344,H16N003,523,keep,0.8438,87eb938e35,V16N010,465,remove
44,e74ccadfce,V13N010,171,keep,0.8398,e69c70f96e,R13N009,153,remove
45,9341625d48,C16N001,459,remove,0.8359,76a45f921d,S16N001,436,remove
46,368f5294cf,D15NN003,880,keep,0.832,2d07d9799d,R15NN001,709,remove
47,da82aa5175,H15N016,231,keep,0.8281,7df6bbf464,R15N015,191,remove
48,9341625d48,C16N001,459,remove,0.8281,3a5dda4ea9,G16N001,530,keep
49,3aacc7c5c6,N17N001,418,remove,0.8203,64f27de094,C17N005,522,keep
50,186eeb18d1,N16N001,556,keep,0.8164,ff69773ada,C16N002,452,remove
51,a96e234eb5,H14N005,190,remove,0.8164,41adb27a25,D14N005,195,keep
52,47a9f62607,R13N010,370,remove,0.8125,431a500f89,D13N003,395,keep
53,2970ebebf5,D16N005,409,remove,0.8047,87eb938e35,V16N010,465,remove
