,text_id1,text_name1,word_count1,status1,similarity,text_id2,text_name2,word_count2,status2
0,c756f03105,text7,555,keep,1.0,03eec57bba,text4,553,remove
1,35ea0dcfe0,text8,205,keep,0.9961,124c11ee87,text2,200,remove
2,c756f03105,text7,555,keep,0.9961,611849dd2b,text10,552,remove
3,03eec57bba,text4,553,remove,0.9961,611849dd2b,text10,552,remove
4,68bb00bb29,text9,92,keep,0.9883,752e10b6f7,text3,90,remove
5,68bb00bb29,text9,92,keep,0.9844,d726445d84,text6,92,remove
6,2be0d88401,text5,202,remove,0.9844,124c11ee87,text2,200,remove
7,35ea0dcfe0,text8,205,keep,0.9805,2be0d88401,text5,202,remove
8,d726445d84,text6,92,remove,0.9805,752e10b6f7,text3,90,remove
9,ee10095c6f,text1,547,remove,0.9688,611849dd2b,text10,552,remove
10,c756f03105,text7,555,keep,0.9648,ee10095c6f,text1,547,remove
11,03eec57bba,text4,553,remove,0.9648,ee10095c6f,text1,547,remove
